WOJ;POW;GMI;RODZ;NAZWA;NAZWA_DOD;STAN_NA
32;10;;;myśliborski;powiat;2021-01-01
4;10;;;nakielski;powiat;2021-01-01
16;6;;;namysłowski;powiat;2021-01-01
28;11;;;nidzicki;powiat;2021-01-01
18;12;;;niżański;powiat;2021-01-01
14;14;;;nowodworski;powiat;2021-01-01
22;10;;;nowodworski;powiat;2021-01-01
28;12;;;nowomiejski;powiat;2021-01-01
12;10;;;nowosądecki;powiat;2021-01-01
8;4;;;nowosolski;powiat;2021-01-01
12;11;;;nowotarski;powiat;2021-01-01
30;15;;;nowotomyski;powiat;2021-01-01
12;62;;;Nowy Sącz;miasto na prawach powiatu;2021-01-01
16;7;;;nyski;powiat;2021-01-01
30;16;;;obornicki;powiat;2021-01-01
28;13;;;olecki;powiat;2021-01-01
16;8;;;oleski;powiat;2021-01-01
2;14;;;oleśnicki;powiat;2021-01-01
12;12;;;olkuski;powiat;2021-01-01
28;62;;;Olsztyn;miasto na prawach powiatu;2021-01-01
28;14;;;olsztyński;powiat;2021-01-01
2;15;;;oławski;powiat;2021-01-01
26;6;;;opatowski;powiat;2021-01-01
10;7;;;opoczyński;powiat;2021-01-01
16;61;;;Opole;miasto na prawach powiatu;2021-01-01
6;12;;;opolski;powiat;2021-01-01
16;9;;;opolski;powiat;2021-01-01
14;15;;;ostrołęcki;powiat;2021-01-01
14;61;;;Ostrołęka;miasto na prawach powiatu;2021-01-01
26;7;;;ostrowiecki;powiat;2021-01-01
14;16;;;ostrowski;powiat;2021-01-01
30;17;;;ostrowski;powiat;2021-01-01
28;15;;;ostródzki;powiat;2021-01-01
30;18;;;ostrzeszowski;powiat;2021-01-01
12;13;;;oświęcimski;powiat;2021-01-01
14;17;;;otwocki;powiat;2021-01-01
10;8;;;pabianicki;powiat;2021-01-01
10;9;;;pajęczański;powiat;2021-01-01
6;13;;;parczewski;powiat;2021-01-01
14;18;;;piaseczyński;powiat;2021-01-01
24;71;;;Piekary Śląskie;miasto na prawach powiatu;2021-01-01
30;19;;;pilski;powiat;2021-01-01
26;8;;;pińczowski;powiat;2021-01-01
10;10;;;piotrkowski;powiat;2021-01-01
10;62;;;Piotrków Trybunalski;miasto na prawach powiatu;2021-01-01
28;16;;;piski;powiat;2021-01-01
30;20;;;pleszewski;powiat;2021-01-01
14;62;;;Płock;miasto na prawach powiatu;2021-01-01
14;19;;;płocki;powiat;2021-01-01
14;20;;;płoński;powiat;2021-01-01
10;11;;;poddębicki;powiat;2021-01-01
32;11;;;policki;powiat;2021-01-01
2;16;;;polkowicki;powiat;2021-01-01
30;64;;;Poznań;miasto na prawach powiatu;2021-01-01
30;21;;;poznański;powiat;2021-01-01
12;14;;;proszowicki;powiat;2021-01-01
16;10;;;prudnicki;powiat;2021-01-01
14;21;;;pruszkowski;powiat;2021-01-01
14;22;;;przasnyski;powiat;2021-01-01
18;13;;;przemyski;powiat;2021-01-01
18;62;;;Przemyśl;miasto na prawach powiatu;2021-01-01
18;14;;;przeworski;powiat;2021-01-01
14;23;;;przysuski;powiat;2021-01-01
24;10;;;pszczyński;powiat;2021-01-01
22;11;;;pucki;powiat;2021-01-01
6;14;;;puławski;powiat;2021-01-01
14;24;;;pułtuski;powiat;2021-01-01
32;12;;;pyrzycki;powiat;2021-01-01
24;11;;;raciborski;powiat;2021-01-01
14;63;;;Radom;miasto na prawach powiatu;2021-01-01
14;25;;;radomski;powiat;2021-01-01
10;12;;;radomszczański;powiat;2021-01-01
4;11;;;radziejowski;powiat;2021-01-01
6;15;;;radzyński;powiat;2021-01-01
30;22;;;rawicki;powiat;2021-01-01
10;13;;;rawski;powiat;2021-01-01
18;15;;;ropczycko-sędziszowski;powiat;2021-01-01
24;72;;;Ruda Śląska;miasto na prawach powiatu;2021-01-01
24;12;;;rybnicki;powiat;2021-01-01
24;73;;;Rybnik;miasto na prawach powiatu;2021-01-01
6;16;;;rycki;powiat;2021-01-01
4;12;;;rypiński;powiat;2021-01-01
18;16;;;rzeszowski;powiat;2021-01-01
18;63;;;Rzeszów;miasto na prawach powiatu;2021-01-01
26;9;;;sandomierski;powiat;2021-01-01
18;17;;;sanocki;powiat;2021-01-01
20;9;;;sejneński;powiat;2021-01-01
4;13;;;sępoleński;powiat;2021-01-01
14;64;;;Siedlce;miasto na prawach powiatu;2021-01-01
14;26;;;siedlecki;powiat;2021-01-01
24;74;;;Siemianowice Śląskie;miasto na prawach powiatu;2021-01-01
20;10;;;siemiatycki;powiat;2021-01-01
10;14;;;sieradzki;powiat;2021-01-01
14;27;;;sierpecki;powiat;2021-01-01
26;10;;;skarżyski;powiat;2021-01-01
10;63;;;Skierniewice;miasto na prawach powiatu;2021-01-01
10;15;;;skierniewicki;powiat;2021-01-01
32;13;;;sławieński;powiat;2021-01-01
8;5;;;słubicki;powiat;2021-01-01
30;23;;;słupecki;powiat;2021-01-01
22;63;;;Słupsk;miasto na prawach powiatu;2021-01-01
22;12;;;słupski;powiat;2021-01-01
14;28;;;sochaczewski;powiat;2021-01-01
14;29;;;sokołowski;powiat;2021-01-01
20;11;;;sokólski;powiat;2021-01-01
22;64;;;Sopot;miasto na prawach powiatu;2021-01-01
24;75;;;Sosnowiec;miasto na prawach powiatu;2021-01-01
18;18;;;stalowowolski;powiat;2021-01-01
